customer_id,first_name,last_name,email,phone,city,state,signup_date
1,Andrea,Fry,jerrybarr@nicholson-smith.biz,485.100.7891,West Christinaview,Vermont,2023-09-23
2,Robert,Parks,blackburnkayla@gmail.com,740-417-1944,Lake Jasonstad,Missouri,2024-09-24
3,Kenneth,Donaldson,karen93@hotmail.com,(138)260-3826,Ramosmouth,South Carolina,2025-03-08
4,Kristin,Davenport,william92@gmail.com,001-741-114-6522,Bryanton,Nevada,2024-02-09
5,Patricia,Ramirez,matthewwood@kane-brady.com,001-277-701-8967x581,Michaelport,North Dakota,2025-01-18
6,Dylan,Smith,joshuawells@phillips.com,3129726584,Lake Danielchester,Wyoming,2024-03-27
7,Emily,Sheppard,jenniferjacobson@gmail.com,+1-367-445-3751x21403,Colemanhaven,Texas,2023-11-19
8,Stephanie,Kim,clementssabrina@martinez-morales.com,001-482-719-7102x346,Churchside,Montana,2024-03-19
9,Jesus,Graham,sabrina59@frost.com,+1-322-898-5311x546,Gabriellahaven,Wisconsin,2024-06-10
10,Victor,Ward,jonathan20@gmail.com,001-273-268-4168x818,Jacksonhaven,Georgia,2023-10-08
11,Patricia,Sanders,robinsonryan@mccoy.com,611-463-6315x7268,Jonesfurt,Idaho,2024-04-18
12,Eric,Dudley,tsmith@garcia.info,(538)098-1649,South Christineburgh,Montana,2025-07-27
13,Lynn,Johnson,cheryldougherty@garcia.com,001-839-975-1890,East Keithton,Idaho,2023-08-22
14,Carol,Rose,bruceyoung@yahoo.com,538-924-1254,Lake Angela,Kentucky,2025-06-22
15,Kurt,Reynolds,qellis@merritt-johnson.org,+1-691-853-7366x68761,North Erichaven,Texas,2025-01-18
16,Katelyn,Golden,jonathan21@adams.org,1109911977,Kristinborough,Nevada,2023-09-03
17,Diane,Moore,crystaltate@jones.org,371.350.1020,South Phyllis,Massachusetts,2025-07-19
18,Janet,Wise,yspencer@branch.org,219.079.0978x2500,Watkinsfort,Mississippi,2025-04-20
19,Ashley,Miller,aaronjohnston@arroyo.com,001-224-084-9184x650,Williammouth,Alabama,2023-06-23
20,Thomas,Fox,tony85@ortiz.com,9119540120,Nicholashaven,New Hampshire,2025-11-13
21,Brian,Ortiz,morenojames@fowler.com,001-009-173-3035,Angelahaven,Maryland,2024-06-16
22,Joshua,Garcia,laura14@stevenson-foley.biz,8857024121,Christianhaven,Virginia,2024-01-05
23,William,Collins,brownfrederick@horn-ayers.info,578.607.5825x83816,Port Brandy,Alabama,2025-08-21
24,Robert,Kennedy,xmcdonald@yahoo.com,303-014-8923x766,Jeffreyberg,Oklahoma,2025-09-06
25,Timothy,Brown,kingmorgan@yahoo.com,+1-812-630-4052x7325,Port Helen,Oregon,2025-08-04
26,Erika,Smith,robin64@mullins.info,530-518-8159x2508,New Timothyland,New Hampshire,2024-04-03
27,Nicole,Dominguez,xmorris@nguyen-james.info,001-397-804-8112x79128,Murphyburgh,Kansas,2025-08-15
28,Thomas,Thomas,fshepherd@hotmail.com,675-329-6099,West Chasefurt,Idaho,2023-08-06
29,Thomas,Mayer,byrdalice@murphy-rich.info,693-009-9917,East Lori,Alabama,2024-12-31
