customer_id,first_name,last_name,age,country,state,email,failure_reason
C00001,Olivia,Miller,74,UK,,o.miller@example.com,state: NULL not allowed
C00002,Sophia,Smith,84,CAN,,s.smith@example.com,state: NULL not allowed
C00003,Liam,Davis,23,UK,,l.davis@example.com,state: NULL not allowed
C00006,Oliver,Jones,43,UK,,o.jones@example.com,state: NULL not allowed
C00007,Noah,Smith,22,IND,,n.smith@example.com,state: NULL not allowed
C00008,Elijah,Miller,62,UK,,e.miller@example.com,state: NULL not allowed
C00010,Olivia,Davis,41,UK,,o.davis@example.com,state: NULL not allowed
C00011,Emma,Brown,66,IND,,e.brown@example.com,state: NULL not allowed
C00012,Liam,Brown,47,UK,,l.brown@example.com,state: NULL not allowed
C00014,Sophia,Garcia,49,CAN,,s.garcia@example.com,state: NULL not allowed
C00015,Emma,Davis,88,IND,,e.davis@example.com,state: NULL not allowed
C00016,Sophia,Davis,65,IND,,s.davis@example.com,state: NULL not allowed
C00018,Elijah,Davis,55,IND,,e.davis@example.com,state: NULL not allowed
C00019,Oliver,Jones,26,CAN,,o.jones@example.com,state: NULL not allowed
C00020,Emma,Miller,56,UK,,e.miller@example.com,state: NULL not allowed
C00021,Elijah,Brown,29,UK,,e.brown@example.com,state: NULL not allowed
C00022,Olivia,Jones,24,CAN,,o.jones@example.com,state: NULL not allowed
C00023,Oliver,Garcia,82,IND,,o.garcia@example.com,state: NULL not allowed
C00024,Oliver,Miller,57,UK,,o.miller@example.com,state: NULL not allowed
C00025,Oliver,Garcia,19,UK,,o.garcia@example.com,state: NULL not allowed
C00027,Ava,Smith,47,CAN,,a.smith@example.com,state: NULL not allowed
C00028,Elijah,Jones,47,CAN,,e.jones@example.com,state: NULL not allowed
C00029,Noah,Smith,29,UK,,n.smith@example.com,state: NULL not allowed
C00030,Oliver,Jones,34,IND,,o.jones@example.com,state: NULL not allowed
C00031,Ava,Davis,58,IND,,a.davis@example.com,state: NULL not allowed
C00034,Elijah,Brown,34,CAN,,e.brown@example.com,state: NULL not allowed
C00036,Emma,Garcia,25,CAN,,e.garcia@example.com,state: NULL not allowed
C00038,Ava,Jones,77,IND,,a.jones@example.com,state: NULL not allowed
C00039,Liam,Garcia,85,UK,,l.garcia@example.com,state: NULL not allowed
C00040,Ava,Davis,63,CAN,,a.davis@example.com,state: NULL not allowed
